kind,city_id,v2_2_rows,v2_1_rows,difference,difference_pct,budget
source_city,129,259662,259856,-194,-0.07465673295979311,
source_city,194,174959,175055,-96,-0.05483990745765616,
source_city,438,127427,127529,-102,-0.07998180805934337,
source_city,467,101550,101627,-77,-0.07576726657285958,
source_city,476,259371,259531,-160,-0.061649668055068566,
source_city,532,172035,172083,-48,-0.027893516500758355,
source_city,619,320516,320710,-194,-0.06049078606841071,
source_city,658,415062,414337,725,0.1749783388883928,
source_fold,476,1571211,1571197,14,0.0008910403978622668,
adaptation,476,0,0,0,,zero
adaptation,476,1518,1643,-125,-7.608034083992696,1
adaptation,476,11041,11168,-127,-1.1371776504297995,7
adaptation,476,47393,47526,-133,-0.2798468206876236,30
adaptation,476,259371,259531,-160,-0.061649668055068566,full
source_fold,532,1658547,1658645,-98,-0.005908437308767096,
adaptation,532,0,0,0,,zero
adaptation,532,963,1008,-45,-4.464285714285714,1
adaptation,532,7011,7056,-45,-0.6377551020408163,7
adaptation,532,30316,30362,-46,-0.1515051709373559,30
adaptation,532,172035,172083,-48,-0.027893516500758355,full
source_fold,619,1510066,1510018,48,0.0031787700543967025,
adaptation,619,0,0,0,,zero
adaptation,619,1739,1908,-169,-8.857442348008385,1
adaptation,619,13291,13460,-169,-1.2555720653789004,7
adaptation,619,57479,57651,-172,-0.2983469497493539,30
adaptation,619,320516,320710,-194,-0.06049078606841071,full
source_fold,658,1415520,1416391,-871,-0.06149431901219367,
adaptation,658,0,0,0,,zero
adaptation,658,2470,2783,-313,-11.24685591088753,1
adaptation,658,17856,18171,-315,-1.733531451213472,7
adaptation,658,74495,74699,-204,-0.2730960253818659,30
adaptation,658,415062,414337,725,0.1749783388883928,full
