config_id,model_family,graph_k,hidden_size,dropout,equal_fold_count_space_mae,primary_rounded_4dp,fold_mae_population_sd,fold_mae_min,fold_mae_max,fold_mae_range,rank
GGRU_K04_H032_D00,ordinary_graph_gru,4,32,0.0,1.5529057885454507,1.5529,1.7794711690544862,0.4745917160529051,4.633398589316461,4.158806873263556,1
GGRU_K04_H032_D10,ordinary_graph_gru,4,32,0.1,1.5539311594356262,1.5539,1.7788975203309385,0.4732951032825096,4.6333986785416394,4.1601035752591295,2
GGRU_K08_H032_D00,ordinary_graph_gru,8,32,0.0,1.55974477808775,1.5597,1.7754529587618353,0.48038514708214713,4.633398596707161,4.153013449625013,3
GGRU_K08_H032_D10,ordinary_graph_gru,8,32,0.1,1.5603987590787893,1.5604,1.77509681141706,0.4798832000127333,4.63339868511271,4.153515485099977,4
GGRU_K16_H032_D10,ordinary_graph_gru,16,32,0.1,1.573728683081017,1.5737,1.7678688608059727,0.49016585720228895,4.6333986948582355,4.143232837655947,5
GGRU_K16_H032_D00,ordinary_graph_gru,16,32,0.0,1.573924778806385,1.5739,1.7677682328891016,0.49038783658831236,4.633398608517166,4.143010771928854,6
GGRU_K04_H064_D10,ordinary_graph_gru,4,64,0.1,1.5840722968159613,1.5841,1.7621057755233576,0.49087864134705095,4.63339890563818,4.142520264291129,7
GGRU_K04_H064_D00,ordinary_graph_gru,4,64,0.0,1.5842222014578289,1.5842,1.7620156293706284,0.49137624824874915,4.633398895775844,4.142022647527095,8
GGRU_K08_H064_D00,ordinary_graph_gru,8,64,0.0,1.585119250156223,1.5851,1.7614896350233782,0.49388287717064605,4.633398897133067,4.1395160199624215,9
GGRU_K08_H064_D10,ordinary_graph_gru,8,64,0.1,1.5850939302150868,1.5851,1.7615066527188132,0.493733747333475,4.63339890645892,4.139665159125445,10
GGRU_K16_H064_D10,ordinary_graph_gru,16,64,0.1,1.5872883646748681,1.5873,1.7602399829744555,0.4991977221138733,4.633398907425751,4.134201185311878,11
GGRU_K16_H064_D00,ordinary_graph_gru,16,64,0.0,1.5873564104359112,1.5874,1.7601955961677955,0.4995547242594625,4.6333988985096894,4.1338441742502265,12
